gen_coord canon_pos region
99784184 1 5'UTR
99784183 2 5'UTR
99784182 3 5'UTR
99784181 4 5'UTR
99784180 5 5'UTR
99784179 6 5'UTR
99784178 7 5'UTR
99784177 8 5'UTR
99784176 9 5'UTR
99784175 10 5'UTR
99784174 11 5'UTR
99784173 12 5'UTR
99784172 13 5'UTR
99784171 14 5'UTR
99784170 15 5'UTR
99784169 16 5'UTR
99784168 17 5'UTR
99784167 18 5'UTR
99784166 19 5'UTR
99784165 20 5'UTR
99784164 21 5'UTR
99784163 22 5'UTR
99784162 23 5'UTR
99784161 24 5'UTR
99784160 25 5'UTR
99784159 26 5'UTR
99784158 27 5'UTR
99784157 28 5'UTR
99784156 29 5'UTR
99784155 30 5'UTR
99784154 31 5'UTR
99784153 32 5'UTR
99784152 33 5'UTR
99784151 34 5'UTR
99784150 35 5'UTR
99784149 36 5'UTR
99784148 37 5'UTR
99784147 38 5'UTR
99784146 39 5'UTR
99784145 40 5'UTR
99784144 41 5'UTR
99784143 42 5'UTR
99784142 43 5'UTR
99784141 44 5'UTR
99784140 45 5'UTR
99784139 46 5'UTR
99784138 47 5'UTR
99784137 48 5'UTR
99784136 49 5'UTR
99784135 50 5'UTR
99784134 51 5'UTR
99784133 52 5'UTR
99784132 53 5'UTR
99784131 54 5'UTR
99784130 55 5'UTR
99784129 56 5'UTR
99784128 57 5'UTR
99784127 58 5'UTR
99784126 59 5'UTR
99784125 60 5'UTR
99784124 61 5'UTR
99784123 62 5'UTR
99784122 63 5'UTR
99784121 64 5'UTR
99784120 65 5'UTR
99784119 66 5'UTR
99784118 67 5'UTR
99784117 68 5'UTR
99784116 69 5'UTR
99784115 70 5'UTR
99784114 71 5'UTR
99784113 72 5'UTR
99784112 73 5'UTR
99784111 74 5'UTR
99784110 75 5'UTR
99784109 76 5'UTR
99784108 77 5'UTR
99784107 78 5'UTR
99784106 79 5'UTR
99784105 80 5'UTR
99784104 81 5'UTR
99784103 82 5'UTR
99784102 83 5'UTR
99784101 84 5'UTR
99784100 85 5'UTR
99784099 86 5'UTR
99784098 87 5'UTR
99784097 88 5'UTR
99784096 89 5'UTR
99784095 90 5'UTR
99784094 91 5'UTR
99784093 92 5'UTR
99784092 93 5'UTR
99784091 94 5'UTR
99784090 95 5'UTR
99784089 96 5'UTR
99784088 97 5'UTR
99784087 98 5'UTR
99784086 99 5'UTR
99784085 100 5'UTR
99784084 101 5'UTR
99784083 102 5'UTR
99784082 103 5'UTR
99784081 104 exon
99784080 105 exon
99784079 106 exon
99784078 107 exon
99784077 108 exon
99784076 109 exon
99784075 110 exon
99784074 111 exon
99784073 112 exon
99784072 113 exon
99784071 114 exon
99784070 115 exon
99784069 116 exon
99784068 117 exon
99784067 118 exon
99784066 119 exon
99784065 120 exon
99784064 121 exon
99784063 122 exon
99784062 123 exon
99784061 124 exon
99784060 125 exon
99784059 126 exon
99784058 127 exon
99784057 128 exon
99784056 129 exon
99784055 130 exon
99784054 131 exon
99784053 132 exon
99784052 133 exon
99784051 134 exon
99784050 135 exon
99784049 136 exon
99784048 137 exon
99784047 138 exon
99784046 139 exon
99784045 140 exon
99784044 141 exon
99784043 142 exon
99784042 143 exon
99784041 144 exon
99784040 145 exon
99784039 146 exon
99784038 147 exon
99784037 148 exon
99784036 149 exon
99784035 150 exon
99784034 151 exon
99784033 152 exon
99784032 153 exon
99784031 154 exon
99784030 155 exon
99784029 156 exon
99784028 157 exon
99784027 158 exon
99784026 159 exon
99784025 160 exon
99784024 161 exon
99784023 162 exon
99784022 163 exon
99784021 164 exon
99784020 165 exon
99784019 166 exon
99784018 167 exon
99784017 168 exon
99784016 169 exon
99784015 170 exon
99784014 171 exon
99784013 172 exon
99784012 173 exon
99784011 174 exon
99780085 175 exon
99780084 176 exon
99780083 177 exon
99780082 178 exon
99780081 179 exon
99780080 180 exon
99780079 181 exon
99780078 182 exon
99780077 183 exon
99780076 184 exon
99780075 185 exon
99780074 186 exon
99780073 187 exon
99780072 188 exon
99780071 189 exon
99780070 190 exon
99780069 191 exon
99780068 192 exon
